ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
3921,A,Ship,2,1,168,3,low,F,7,4008
7464,F,Ship,5,5,266,5,medium,M,7,1440
7089,A,Ship,4,1,214,5,medium,M,9,5801
1098,F,Flight,3,2,263,3,low,F,57,2113
10924,B,Ship,5,5,221,5,low,F,3,1220
7187,C,Ship,6,1,264,4,medium,M,1,1273
1036,B,Ship,3,5,253,2,medium,M,17,2205
3170,F,Ship,6,3,161,4,medium,M,8,1247
2518,B,Ship,3,5,150,2,low,F,48,1256
10483,D,Ship,5,2,265,5,medium,F,5,1864
3,A,Flight,2,2,183,4,low,M,48,3374
3422,F,Flight,4,5,159,2,low,M,1,5671
398,F,Road,2,1,123,4,low,F,53,1036
6408,F,Ship,3,3,209,3,high,F,2,4036
8661,A,Ship,4,2,271,5,medium,M,4,1633
455,C,Ship,4,5,133,3,low,F,53,1467
2302,B,Ship,4,5,113,3,low,F,52,1741
210,F,Ship,2,5,148,3,high,F,11,1502
7311,A,Ship,4,4,218,4,medium,F,10,4967
10465,D,Ship,5,1,228,5,low,F,2,1950
6112,B,Ship,5,4,268,3,low,F,3,5320
1293,A,Ship,5,5,133,3,medium,F,21,1648
5917,D,Ship,5,4,268,3,high,F,10,4955
1875,A,Ship,4,5,217,4,medium,F,12,2217
10861,D,Ship,5,3,237,3,high,M,7,4208
216,F,Ship,2,5,158,3,low,F,40,1722
9046,B,Flight,4,2,199,3,low,M,4,4070
10651,D,Ship,4,4,239,3,medium,F,7,5297
6737,C,Ship,5,2,214,2,low,F,10,5192
4812,F,Flight,6,5,245,4,low,F,8,1403
1671,A,Ship,4,2,209,4,low,F,10,3370
5482,B,Flight,3,5,162,3,medium,M,1,4480
4446,F,Ship,2,4,107,4,high,F,4,4451
3586,B,Ship,4,5,214,2,low,M,3,5546
473,C,Ship,2,2,189,4,low,M,9,3413
1482,F,Road,4,4,174,3,low,M,49,1141
5993,C,Ship,4,4,187,3,low,F,8,4893
7957,D,Flight,5,5,229,6,low,F,6,1857
5707,D,Ship,4,2,260,3,medium,F,3,4661
5862,F,Ship,3,2,224,3,low,F,7,5896
6590,F,Flight,5,3,218,5,low,F,6,1278
2917,D,Ship,5,1,154,2,low,M,37,1671
3452,F,Ship,3,2,213,3,medium,M,10,5993
6980,F,Road,3,5,139,3,low,F,1,4060
9283,D,Ship,2,3,192,3,low,M,4,5524
6156,F,Road,4,5,159,2,low,F,3,5704
3495,A,Ship,3,4,113,3,medium,M,1,5765
1656,F,Flight,3,3,157,2,medium,F,62,1366
10709,C,Ship,5,1,262,5,medium,F,9,1893
8539,D,Ship,4,3,239,3,low,M,10,4020
9084,F,Ship,4,5,233,3,medium,F,7,5604
2574,F,Ship,3,5,165,3,medium,M,33,1500
7525,D,Road,4,3,165,2,medium,M,10,4351
1753,D,Ship,3,1,192,3,medium,M,35,2258
1038,F,Ship,3,1,156,3,medium,M,49,1253
7685,C,Flight,5,2,265,4,low,F,7,4883
8075,C,Road,4,4,199,3,low,F,9,5016
5065,D,Flight,3,5,162,2,low,M,4,4495
7210,B,Ship,6,3,265,5,medium,M,10,1897
233,C,Ship,5,5,134,2,medium,M,53,1088
8151,A,Ship,3,3,164,3,high,M,9,5070
10619,C,Ship,6,3,153,6,medium,F,7,4975
2159,C,Ship,4,2,157,2,medium,M,15,1724
2610,F,Flight,4,1,157,3,medium,M,31,1712
3377,C,Ship,4,1,244,2,low,F,3,4644
5293,D,Ship,3,2,205,2,low,M,6,4853
6762,F,Ship,5,3,253,3,low,F,3,5944
9136,B,Ship,6,5,253,4,medium,M,8,1899
10254,F,Road,3,1,263,3,high,M,10,4911
2940,F,Ship,3,1,139,2,low,M,47,1241
8241,A,Ship,4,4,221,10,high,M,6,5582
469,D,Ship,3,5,194,3,medium,F,10,2277
8109,A,Ship,3,3,195,3,low,M,1,4224
8806,B,Ship,3,1,176,2,medium,F,4,5726
10175,C,Ship,4,4,196,3,medium,F,2,4320
8211,A,Road,4,4,162,3,low,F,8,5394
611,C,Ship,3,4,134,2,medium,M,43,1198
8932,B,Ship,5,5,257,5,low,M,5,1657
3591,A,Ship,3,4,203,3,medium,M,1,5543
6815,C,Ship,6,3,297,4,medium,M,2,1954
9573,A,Road,3,1,195,5,low,F,4,4034
1916,F,Flight,5,2,156,2,medium,M,19,1311
2338,B,Flight,3,4,226,3,medium,F,22,3593
1589,C,Ship,5,4,185,4,medium,M,31,3565
8100,F,Flight,5,1,282,5,low,M,6,5182
3843,A,Flight,5,4,172,2,low,M,5,4554
4845,A,Ship,5,3,263,2,low,M,3,4474
4010,F,Ship,5,1,185,2,medium,F,10,5973
8679,A,Ship,3,1,198,3,low,M,3,4965
3149,C,Flight,3,3,207,3,high,M,1,5632
5236,B,Ship,5,2,249,3,high,F,8,5000
8604,F,Ship,6,5,308,4,low,M,4,1202
7249,D,Road,5,4,173,3,low,M,9,5432
2283,A,Ship,4,1,184,3,high,F,47,3081
1926,F,Flight,5,2,161,2,medium,F,59,1859
10900,B,Ship,2,1,229,3,medium,M,9,5075
8106,F,Ship,4,2,237,2,low,F,1,5261
9899,C,Ship,2,1,285,3,high,F,7,4999
4141,D,Ship,3,5,232,3,low,M,10,5333
9958,B,Ship,7,4,282,4,low,M,6,1800
7342,B,Ship,3,1,155,3,medium,F,2,5446
338,F,Ship,4,4,201,2,low,F,1,3147
9586,B,Flight,2,4,184,5,medium,M,9,5812
2551,D,Ship,3,1,178,3,low,F,11,1481
4520,F,Flight,5,5,132,3,low,M,3,4263
10526,F,Road,3,2,164,2,medium,F,3,4666
8813,C,Ship,3,1,242,8,medium,F,8,5401
756,F,Ship,3,5,258,3,low,M,17,3033
10257,A,Road,2,2,163,3,low,M,5,5887
8137,D,Ship,4,3,177,3,low,M,1,5282
8006,F,Ship,6,3,247,4,low,F,6,1537
3512,F,Ship,4,2,177,3,low,M,8,4904
6741,A,Ship,6,3,210,4,medium,M,9,5440
3269,C,Road,5,4,217,3,medium,F,8,4949
8694,F,Ship,6,2,164,4,low,M,6,5264
10192,B,Ship,7,3,306,4,low,F,4,1630
10131,A,Road,5,1,151,3,medium,F,1,4981
5294,F,Ship,2,1,275,2,low,F,5,4163
6921,A,Ship,6,3,245,4,low,M,10,1798
7925,C,Road,3,4,142,4,medium,M,5,4429
445,D,Ship,3,3,135,3,low,F,19,1366
3928,B,Ship,3,1,227,3,low,M,10,4305
8771,C,Flight,3,4,251,3,medium,M,5,5608
119,C,Road,2,5,263,3,low,F,5,2947
906,F,Ship,4,4,147,3,low,M,13,1145
6026,F,Flight,5,3,267,5,low,M,6,1119
7894,B,Ship,4,2,263,3,low,F,7,5395
5714,F,Ship,5,2,280,3,high,F,8,5858
9543,A,Ship,3,1,242,5,low,F,3,4026
6706,B,Road,2,5,127,3,medium,F,3,5964
74,F,Ship,4,5,215,3,medium,F,21,3984
2973,A,Ship,3,4,228,2,medium,M,46,3306
2124,F,Ship,3,2,238,2,low,F,29,3728
5583,A,Ship,5,4,140,4,low,F,10,4528
3527,C,Ship,3,1,223,4,low,M,1,4195
8084,F,Flight,4,4,175,3,low,F,6,4600
5486,F,Flight,4,5,113,3,medium,F,10,4053
813,A,Road,4,5,191,3,low,F,19,2392
9332,F,Flight,4,5,167,4,low,M,3,4658
8765,C,Flight,4,1,156,2,medium,M,4,5225
10374,F,Ship,3,5,143,2,low,M,8,4754
3863,C,Ship,5,1,152,3,medium,F,6,4735
485,C,Ship,4,3,186,7,medium,F,30,2062
4271,C,Ship,5,3,101,5,medium,F,1,4014
6863,C,Flight,6,2,308,5,medium,M,4,1303
6795,A,Ship,4,3,134,10,medium,M,8,4337
996,F,Ship,4,2,141,2,medium,M,52,1012
3084,F,Ship,4,2,169,2,low,M,22,1322
3909,A,Ship,4,2,173,2,medium,M,9,4307
3466,B,Ship,4,4,202,3,medium,M,2,4299
4110,F,Flight,4,1,223,3,medium,F,4,4972
3951,A,Road,4,3,270,2,low,M,7,5814
9154,B,Road,5,1,226,6,low,M,5,1078
7707,A,Ship,5,3,232,5,medium,F,2,1057
10011,A,Flight,5,5,105,4,low,M,6,5135
6528,F,Ship,5,3,222,3,medium,F,10,4597
9153,A,Road,7,2,267,4,medium,M,8,1285
5049,A,Road,5,1,260,2,low,M,4,5580
5072,F,Flight,4,5,228,4,low,M,4,4750
10776,F,Ship,5,3,230,5,low,M,7,1996
1821,A,Ship,4,3,201,2,medium,F,18,3461
329,C,Ship,5,1,274,2,medium,M,24,2423
5888,F,Flight,3,2,227,2,medium,M,10,4290
8602,B,Ship,4,5,228,5,low,M,5,1373
3624,F,Ship,3,3,155,3,low,F,3,5768
4130,F,Ship,4,4,192,2,low,M,7,4151
6180,F,Flight,3,4,171,3,medium,F,5,4310
2604,F,Flight,4,5,194,2,high,M,44,2651
3453,A,Ship,5,1,123,2,low,F,9,5497
9240,F,Ship,4,2,217,2,medium,F,8,4907
1388,F,Ship,4,4,161,2,medium,M,59,1941
6914,F,Ship,5,5,256,5,medium,M,2,1693
7664,F,Road,3,1,252,2,low,M,9,5050
9012,F,Ship,3,5,264,4,medium,F,8,4324
6356,F,Ship,2,4,114,4,low,M,9,4452
5202,F,Flight,3,1,176,3,low,M,5,5316
9115,D,Ship,3,1,249,2,medium,F,1,5190
2705,C,Ship,3,3,257,3,low,M,64,3103
2544,F,Ship,3,3,138,6,medium,M,49,1078
255,A,Road,2,2,152,3,low,F,61,1800
7686,F,Flight,6,1,201,4,low,F,5,4592
3790,B,Ship,3,1,154,10,medium,F,3,4524
3556,B,Road,4,1,173,3,low,F,5,5232
5216,F,Flight,6,4,292,4,low,F,10,1321
9990,F,Road,5,5,171,2,high,M,8,4602
4257,A,Flight,3,1,166,2,low,F,10,5932
4706,F,Ship,4,4,201,5,medium,M,3,5901
7300,B,Ship,5,4,250,4,low,M,2,4183
5129,C,Ship,3,3,271,4,high,M,3,4006
10613,C,Ship,5,2,252,3,low,M,6,4013
946,B,Road,2,2,163,3,medium,M,35,1547
3964,B,Road,4,5,213,3,medium,F,7,4114
5406,F,Ship,2,2,146,4,low,M,4,5817
4882,B,Ship,4,5,218,6,low,M,5,4364
1389,A,Ship,5,1,230,3,low,F,43,2994
6096,F,Ship,6,4,195,5,high,F,10,4225
2468,F,Flight,5,1,170,3,medium,F,48,1299
1053,A,Ship,5,5,264,3,medium,F,27,2019
6169,D,Flight,5,2,197,4,high,M,4,4339
6072,F,Ship,3,4,257,5,medium,F,5,5365
1187,C,Ship,4,4,135,10,medium,F,57,1361
669,A,Road,5,1,179,3,low,F,62,1945
4633,D,Road,3,4,202,5,high,M,5,4632
10825,D,Flight,5,1,244,2,medium,M,6,5217
3127,D,Road,3,1,224,3,low,F,48,3672
10422,F,Flight,4,3,207,2,medium,M,4,5227
795,A,Ship,4,5,255,4,low,M,14,3099
4339,D,Ship,4,4,233,4,low,M,3,5849
3820,B,Road,5,5,184,3,low,F,2,5800
680,F,Road,3,1,202,2,high,M,52,2312
2449,D,Road,5,3,136,3,medium,F,13,1446
6976,B,Road,4,1,137,2,low,M,3,4657
2248,B,Ship,3,2,206,2,low,M,3,2261
5499,A,Ship,7,3,281,4,low,M,1,1215
7085,C,Ship,4,1,168,2,medium,F,1,5698
6285,A,Road,5,2,249,5,medium,M,6,1298
5325,A,Road,4,3,175,3,medium,F,4,5784
9346,B,Ship,4,1,157,2,medium,F,7,4690
4465,D,Ship,4,5,258,2,medium,M,6,5062
7068,F,Ship,3,4,166,4,low,M,4,5107
3318,F,Ship,5,3,141,3,low,M,9,4857
1418,F,Ship,3,3,166,2,low,F,45,1791
6668,F,Ship,3,3,152,2,medium,M,3,4193
7746,F,Ship,6,4,264,4,low,M,1,1711
4432,B,Ship,4,2,257,3,medium,M,8,5045
1271,C,Ship,4,4,158,3,medium,M,63,1387
8203,D,Road,3,3,255,2,low,F,10,5632
8577,A,Ship,4,1,224,2,low,F,6,4454
8188,B,Ship,3,1,218,4,low,M,6,5480
1572,F,Ship,5,2,151,4,low,M,12,1145
2810,F,Ship,3,2,207,2,low,M,20,3419
7509,A,Road,6,4,290,4,low,M,3,1710
9665,C,Ship,2,5,181,5,medium,F,5,1043
4754,F,Ship,6,2,247,4,low,M,10,1556
7066,B,Ship,2,3,263,4,medium,M,9,5390
2298,F,Ship,5,4,281,4,medium,M,56,3709
5984,F,Ship,4,3,238,2,low,M,7,5808
4635,A,Road,5,3,263,3,medium,F,2,4688
5005,D,Ship,4,3,161,6,low,M,6,5560
7242,F,Road,4,5,129,5,medium,M,7,5554
655,D,Ship,4,5,249,2,low,M,4,2725
3902,F,Ship,5,5,192,3,medium,M,5,4942
10086,F,Ship,4,5,217,3,low,F,3,5380
4230,F,Road,5,4,172,4,medium,F,10,4659
9705,A,Road,5,2,272,5,low,M,8,1317
7979,C,Ship,3,4,188,5,low,F,3,4835
9042,F,Flight,3,4,181,3,low,M,10,5276
3515,C,Ship,2,4,189,3,low,M,3,5897
8018,F,Ship,4,5,237,5,low,M,2,1357
3463,D,Ship,3,4,271,2,medium,M,6,4218
7475,C,Ship,5,4,263,4,low,F,2,1625
225,A,Ship,3,4,192,3,medium,F,31,3331
8533,D,Ship,4,1,243,5,medium,F,1,4624
1080,F,Road,2,4,141,3,medium,F,27,1628
54,F,Ship,2,1,170,3,low,M,41,1128
8292,F,Ship,4,2,208,3,low,M,8,4342
10419,A,Flight,5,3,270,5,low,F,1,1568
592,B,Ship,3,3,281,2,medium,M,55,3047
8412,F,Ship,3,2,168,3,medium,M,10,4979
6492,F,Ship,6,4,251,4,low,F,10,1568
5526,F,Ship,6,1,260,4,medium,M,9,1698
2288,F,Ship,3,1,215,6,high,M,5,3432
7118,F,Road,6,5,247,6,medium,M,3,4832
4685,C,Ship,4,3,261,3,low,F,9,5994
8583,A,Ship,5,5,271,2,medium,M,6,4788
7865,C,Ship,5,3,143,3,low,M,6,4761
9904,B,Ship,3,3,202,4,medium,M,10,5137
4526,F,Flight,4,5,173,2,medium,F,5,4776
9456,F,Flight,4,2,270,5,low,F,5,1747
5269,D,Ship,7,2,296,4,low,F,6,1005
10926,F,Ship,5,1,240,5,low,M,10,1373
8386,B,Ship,4,5,231,3,low,F,4,5174
4608,F,Ship,3,1,232,2,medium,F,2,5104
5941,D,Ship,4,5,212,2,medium,M,10,4552
2337,A,Flight,2,2,242,6,low,F,63,3144
1942,B,Ship,3,2,183,4,low,M,49,2414
1705,D,Ship,3,3,245,2,medium,F,16,2577
151,D,Flight,4,4,220,2,medium,F,7,2551
3932,F,Ship,2,4,187,6,medium,F,9,4388
5220,F,Flight,7,5,310,4,low,F,5,1975
7148,F,Ship,6,4,279,4,low,M,9,1128
3280,B,Road,3,2,243,2,low,F,5,4769
9060,F,Ship,3,2,199,3,medium,F,10,5768
8716,B,Ship,2,1,198,2,low,M,8,4323
8494,B,Flight,3,1,267,2,low,M,7,4486
3322,B,Ship,4,3,178,6,low,M,6,4203
3052,B,Ship,3,3,231,3,medium,M,53,2333
10116,F,Road,4,5,237,5,medium,M,4,4917
8126,F,Ship,3,1,102,4,medium,F,4,5936
176,F,Ship,4,4,150,2,medium,M,3,1285
3648,F,Ship,4,2,147,3,low,F,5,5174
10311,A,Ship,4,4,163,3,low,M,8,4921
6260,F,Ship,6,3,306,4,low,M,10,1372
5338,B,Road,4,4,204,3,medium,M,8,5614
7526,F,Road,4,3,174,3,low,F,3,4846
4967,C,Ship,4,1,198,3,medium,F,1,4090
8576,F,Ship,3,1,269,8,medium,F,4,4290
9620,F,Ship,6,5,117,7,medium,M,6,5529
8620,B,Road,5,3,267,6,low,M,10,1027
917,C,Ship,5,5,261,8,medium,M,39,2103
4499,C,Road,3,4,269,2,medium,M,6,5951
9957,A,Ship,5,2,269,5,medium,F,10,1113
1436,F,Ship,6,5,100,4,medium,F,3,1440
2277,A,Ship,3,4,209,2,low,M,62,2935
10975,D,Flight,5,2,219,5,low,F,9,1505
1461,A,Ship,4,1,240,3,low,M,50,2430
5266,B,Ship,6,3,282,4,medium,M,3,1661
1646,F,Flight,4,4,143,8,medium,M,12,1326
1467,A,Ship,4,1,192,3,low,F,15,3460
10361,C,Ship,4,3,189,3,medium,F,9,4825
4842,F,Ship,5,1,156,6,medium,F,4,4821
3760,B,Ship,2,3,230,3,low,F,4,5127
10962,F,Flight,3,2,164,4,medium,M,6,5761
3222,F,Ship,3,4,155,2,low,M,3,5481
9562,B,Ship,4,1,234,3,low,M,2,4282
8732,F,Ship,5,2,238,2,low,M,5,5703
10386,F,Road,5,5,272,2,low,F,4,5342
3391,D,Ship,5,4,273,3,medium,M,6,4044
9221,C,Ship,5,3,156,3,low,F,6,5231
4903,D,Ship,5,1,255,3,high,M,6,4044
5523,A,Ship,4,2,133,3,low,M,2,1212
1021,D,Ship,3,4,166,3,medium,M,43,1095
3970,B,Flight,4,5,214,3,high,F,1,4004
3989,C,Flight,3,1,155,3,medium,F,6,5113
5898,F,Flight,5,4,151,5,low,F,1,4122
4815,A,Ship,7,3,286,4,low,F,3,1670
8192,F,Ship,5,2,224,3,high,M,4,4271
6231,A,Ship,6,5,282,4,medium,F,4,1013
3980,F,Flight,4,4,261,3,medium,M,2,4140
9124,B,Ship,5,5,167,3,medium,M,1,4314
1153,D,Ship,4,1,135,10,medium,M,35,1989
8303,C,Ship,5,4,158,3,low,F,10,4670
8256,F,Ship,5,3,254,6,low,M,8,1932
1195,D,Ship,4,1,127,8,low,F,12,1519
6321,A,Ship,5,5,228,3,medium,F,8,4731
1613,C,Ship,3,5,181,3,medium,M,22,3575
2524,B,Ship,5,5,133,10,medium,M,9,1724
6396,F,Ship,3,5,185,3,medium,M,5,4317
10136,F,Flight,4,1,196,3,medium,F,9,5216
9166,B,Road,5,2,227,6,medium,F,6,1620
2372,F,Ship,4,5,152,3,medium,M,25,1222
3774,F,Ship,3,3,172,6,medium,F,5,5366
4580,F,Ship,4,3,142,3,medium,F,6,5930
6113,C,Ship,4,1,225,2,medium,F,10,4577
4999,D,Ship,3,3,239,6,low,M,7,4501
7376,F,Road,3,1,194,2,medium,F,1,5931
5195,C,Road,4,2,262,3,low,F,9,4941
167,C,Ship,5,2,141,3,high,F,34,1020
878,F,Ship,4,1,222,3,medium,M,25,2582
8979,A,Ship,5,4,191,4,low,M,8,4566
7012,B,Ship,4,2,198,6,medium,M,5,4659
10237,D,Ship,4,4,175,2,medium,F,10,4927
5471,C,Road,6,5,264,4,low,M,1,1039
7356,F,Ship,3,2,220,3,low,F,7,5503
10183,D,Ship,6,2,247,4,medium,M,3,1118
3745,D,Ship,6,4,256,4,high,M,2,5021
9293,C,Road,3,4,160,3,low,M,10,4602
8156,F,Ship,3,3,224,3,medium,F,5,4214
4986,F,Ship,6,1,152,2,low,F,3,1340
9642,F,Ship,3,2,264,2,low,M,6,5702
9892,B,Ship,4,4,272,2,low,M,1,4013
126,F,Road,3,3,203,2,low,M,25,3607
2827,D,Ship,2,3,172,3,medium,F,11,1522
8929,D,Ship,5,5,265,6,low,M,4,1937
3836,F,Flight,3,5,220,4,low,M,2,4313
4439,C,Ship,4,1,257,4,low,M,5,5875
2475,A,Flight,3,4,212,3,medium,F,13,2307
3202,B,Ship,3,5,205,4,low,M,2,1648
9440,F,Road,5,4,244,5,medium,F,1,1320
8907,A,Flight,4,5,295,3,low,F,2,1693
3673,D,Road,4,1,251,3,low,F,4,4374
3529,D,Ship,4,4,218,2,low,M,9,5637
5980,B,Ship,2,5,286,6,medium,F,3,4497
6152,F,Road,4,3,158,3,high,F,5,5602
4259,C,Flight,4,4,141,3,low,M,7,4683
5088,F,Ship,5,2,243,3,high,M,2,5734
5671,D,Ship,5,5,200,3,low,M,6,4401
7855,D,Ship,4,4,135,3,medium,M,6,4335
10774,B,Ship,5,4,223,5,low,F,2,1713
3916,B,Ship,3,4,250,3,low,M,10,5688
5911,D,Ship,4,3,257,3,low,F,2,5198
8360,F,Flight,6,3,255,4,medium,F,8,1805
56,F,Ship,2,5,246,5,low,M,46,2437
2072,F,Flight,3,1,153,2,medium,F,51,1841
7134,F,Flight,3,3,182,10,low,M,3,5555
1586,F,Ship,3,5,234,2,high,M,4,2701
8493,A,Flight,4,5,150,3,low,M,5,4512
525,A,Road,5,2,154,3,low,M,40,1238
801,A,Road,5,5,170,2,medium,F,36,1278
7628,F,Ship,5,5,223,3,low,M,5,4373
7548,F,Flight,4,2,149,2,low,M,2,4026
